id,zotero_collection,source_type,is_academic_paper,quality_tier,quality_basis,source,title,domain,url,core_rank,journal_quartile,verification_status,recommended_use,notes
16,Agent tooling and runtimes,framework docs,no,Authoritative grey,LangChain official middleware docs,LangChain,Middleware overview,docs.langchain.com,https://docs.langchain.com/oss/python/langchain/middleware/overview,needs manual lookup,not applicable or needs lookup,preliminary,Use for runtime design facts,
17,Prompt injection and threat model,academic paper,yes,Tier 2 - influential preprint,arXiv 2023; highly relevant but verify publication status,Greshake et al,Not what you've signed up for: Compromising real-world LLM-integrated applications with indirect prompt injection,arxiv.org,https://arxiv.org/abs/2302.12173,needs manual lookup,not applicable or needs lookup,needs venue verification,Core prompt-injection foundation,
18,Prompt injection and threat model,academic paper,yes,Tier 1 - top security venue,USENIX Security 2024 page in README; top security venue,Liu et al,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,usenix.org,https://www.usenix.org/conference/usenixsecurity24/presentation/liu-yupei,needs manual lookup,not applicable or needs lookup,preliminary,High priority; strong citation candidate,
19,Agent benchmarks,academic paper,yes,Tier 2 - preprint unless venue found,arXiv 2024; check whether later published,Zhan et al,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,arxiv.org,https://arxiv.org/abs/2403.02691,needs manual lookup,not applicable or needs lookup,preliminary,Read for agent-specific benchmark design,
20,Agent benchmarks,academic paper,yes,Tier 2 - preprint unless venue found,arXiv 2024; check whether later published,Zhang et al,Agent Security Bench: Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,arxiv.org,https://arxiv.org/abs/2410.02644,needs manual lookup,not applicable or needs lookup,preliminary,Read for broader agent security taxonomy,
21,Defences,academic paper,yes,Tier 2 - preprint unless venue found,arXiv 2024 defence work,Hines et al,Defending Against Indirect Prompt Injection Attacks With Spotlighting,arxiv.org,https://arxiv.org/abs/2403.14720,needs manual lookup,not applicable or needs lookup,preliminary,Read for provenance/spotlighting baseline,
22,Defences,academic paper,yes,Tier 2 - preprint unless venue found,arXiv 2024 defence work,Chen et al,StruQ: Defending Against Prompt Injection with Structured Queries,arxiv.org,https://arxiv.org/abs/2402.06363,needs manual lookup,not applicable or needs lookup,preliminary,Read for structured separation baseline,
23,Defences,academic paper,yes,Tier 2 - recent preprint,arXiv 2025; check venue before final citation,Liu et al,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,arxiv.org,https://arxiv.org/abs/2504.11358,needs manual lookup,not applicable or needs lookup,preliminary,Read for adaptive defence framing,
24,Defences,academic paper,yes,Tier 2 - recent preprint,arXiv 2025; check venue before final citation,Zhu et al,MELON: Indirect Prompt Injection Defense via Masked Re-execution and Tool Comparison,arxiv.org,https://arxiv.org/abs/2502.05174,needs manual lookup,not applicable or needs lookup,preliminary,Read for masked re-execution comparison,
25,Defences,academic paper,yes,Tier 2 - recent preprint,arXiv 2025 design-pattern paper,Beurer-Kellner et al,Design Patterns for Securing LLM Agents against Prompt Injections,arxiv.org,https://arxiv.org/abs/2506.08837,needs manual lookup,not applicable or needs lookup,preliminary,Read early; directly relevant to architecture,
26,Prompt injection and threat model,security guidance,no,Authoritative grey,OWASP GenAI risk guidance; not academic paper,OWASP GenAI Security Project,LLM01: Prompt Injection,genai.owasp.org,https://genai.owasp.org/llmrisk/llm01-prompt-injection/,needs manual lookup,not applicable or needs lookup,preliminary,Use for practitioner motivation,
27,Defences,security guidance,no,Authoritative grey,Microsoft security guidance,Microsoft Learn,Defend against indirect prompt injection attacks,learn.microsoft.com,https://learn.microsoft.com/en-us/security/zero-trust/sfi/defend-indirect-prompt-injection,needs manual lookup,not applicable or needs lookup,preliminary,Use for practice alignment,
28,MCP security and protocol,protocol security guidance,no,Authoritative grey,MCP security best practices,Model Context Protocol,Security best practices,modelcontextprotocol.io,https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices,needs manual lookup,not applicable or needs lookup,preliminary,Use for MCP-specific risk framing,
29,Defences,vendor guidance,no,Authoritative grey,OpenAI guidance on prompt-injection-resistant agents,OpenAI,Designing agents to resist prompt injection,openai.com,https://openai.com/index/designing-agents-to-resist-prompt-injection/,needs manual lookup,not applicable or needs lookup,preliminary,Use for defence principles,
30,Attack methods,academic paper,yes,Tier 1/2 - verify publication status,Seminal GCG arXiv paper; venue should be checked,Zou et al,Universal and Transferable Adversarial Attacks on Aligned Language Models,arxiv.org,https://arxiv.org/abs/2307.15043,needs manual lookup,not applicable or needs lookup,needs venue verification,Use for attacker strength tier,"(arXiv:2307.15043, 2023) — the GCG algorithm; code at [llm-attacks/llm-attacks](https://github.com/llm-attacks/llm-attacks)"
31,Attack methods,tool/code,no,Tool / code,GitHub implementation; not scholarly source,GraySwanAI,"nanoGCG: a fast, lightweight PyTorch implementation of GCG",github.com,https://github.com/GraySwanAI/nanoGCG,needs manual lookup,not applicable or needs lookup,preliminary,Use only as implementation reference,(`pip install nanogcg`)
32,Attack methods,academic paper,yes,Tier 2 - preprint unless venue found,arXiv 2023 detector paper,Alon & Kamfonas,Detecting Language Model Attacks with Perplexity,arxiv.org,https://arxiv.org/abs/2308.14132,needs manual lookup,not applicable or needs lookup,preliminary,Use for perplexity detector caveat,"(arXiv:2308.14132, 2023)"
33,Attack methods,academic paper,yes,Tier 2 - preprint unless venue found,arXiv 2023 baseline defence paper,Jain et al,Baseline Defenses for Adversarial Attacks Against Aligned Language Models,arxiv.org,https://arxiv.org/abs/2309.00614,needs manual lookup,not applicable or needs lookup,preliminary,"Use as baseline, verify venue","(arXiv:2309.00614, 2023)"
