issue_type,paper,expected_folder,expected_tier,actual_tier,zotero_keys,zotero_paths,note
wrong_broad_tier,"Securing the Agent: Vendor-Neutral, Multitenant Enterprise Retrieval and Tool Use",T2,T2,T1,HIGXVPRT,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T1,"Expected broad tier T2, but Zotero tier folder is T1."
missing_broad_tier,Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,T2,T2,,WQ6TQHNK,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core || MSc Thesis - Tool-Output Injection / 05 Attack Generation and Adaptive Attacks,"Expected broad tier T2, but Zotero tier folder is none."
missing_broad_tier,MCP-Bench: Benchmarking Tool-Using LLM Agents with Complex Real-World Tasks via MCP Servers,T1,T1,,WFEX74YG,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use,"Expected broad tier T1, but Zotero tier folder is none."
missing_broad_tier,Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,T2-caution-mdpi-q2,T2,,XWI8T4ZP,MSc Thesis - Tool-Output Injection / 04 MCP Security,"Expected broad tier T2, but Zotero tier folder is none."
missing_broad_tier,Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game,T1,T1,,7V6YFCJV,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core,"Expected broad tier T1, but Zotero tier folder is none."
watchlist_item_in_core_tier,A First Measurement Study on Authentication Security in Real-World Remote MCP Servers,Watchlist-low-signal-preprint,Watchlist,T3,WBVWFGY8,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,ACE: A Security Architecture for LLM-Integrated App Systems,Watchlist-low-signal-preprint,Watchlist,T1,EAWDGDFJ,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,"Expected Watchlist, but Zotero currently places it in T1."
watchlist_item_in_core_tier,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,Watchlist-low-signal-preprint,Watchlist,T1,FS8FXVW9,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T1,"Expected Watchlist, but Zotero currently places it in T1."
watchlist_item_in_core_tier,Architecting Secure AI Agents: Perspectives on System-Level Defenses Against Indirect Prompt Injection Attacks,Watchlist-low-signal-preprint,Watchlist,T3,72G39ZQF,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks || MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs,Watchlist-low-signal-preprint,Watchlist,T1,WAGT2NFG,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,"Expected Watchlist, but Zotero currently places it in T1."
watchlist_item_in_core_tier,AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations,Watchlist-low-signal-preprint,Watchlist,T3,FTQ5VZVM,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Beyond the Protocol: Unveiling Attack Vectors in the Model Context Protocol (MCP) Ecosystem,Watchlist-low-signal-preprint,Watchlist,T3,2DW3452X,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,Watchlist-low-signal-preprint,Watchlist,T3,IQPU5RCM,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Clawed and Dangerous: Can We Trust Open Agentic Systems?,Watchlist-low-signal-preprint,Watchlist,T3,DTTZMEMY,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Deep Research Brings Deeper Harm,Watchlist-low-signal-preprint,Watchlist,T3,YNQJ8ZEK,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Defeating Prompt Injections by Design,Watchlist-low-signal-preprint,Watchlist,T3,F2Z4UQN8,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Defending Against Prompt Injection with DataFilter,Watchlist-low-signal-preprint,Watchlist,T3,HKSBD6XX,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,MCP-Guard: A Multi-Stage Defense-in-Depth Framework for Securing Model Context Protocol in Agentic AI,Watchlist-low-signal-preprint,Watchlist,T3,7D8YAKFC,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,Watchlist-low-signal-preprint,Watchlist,T3,UMIR8WCK,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,MCPGuard: Automatically Detecting Vulnerabilities in MCP Servers,Watchlist-low-signal-preprint,Watchlist,T3,SBEBWL9I,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,MCPSecBench: A Systematic Security Benchmark and Playground for Testing Model Context Protocols,Watchlist-low-signal-preprint,Watchlist,T3,JSUEKJ7I,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Meta SecAlign: A Secure Foundation LLM Against Prompt Injection Attacks,Watchlist-low-signal-preprint,Watchlist,T3,FCNZA3HV,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",Watchlist-low-signal-preprint,Watchlist,T3,D2UYLRMU,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Prompt Injection attack against LLM-integrated Applications,Watchlist-low-signal-preprint,Watchlist,T3,I6USYZ47,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,"Prompt Injection Attacks on Agentic Coding Assistants: A Systematic Analysis of Vulnerabilities in Skills, Tools, and Protocol Ecosystems",Watchlist-low-signal-preprint,Watchlist,T3,L6F6YM4P,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core || MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Semantic Attacks on Tool-Augmented LLMs: Securing the Model Context Protocol Against Descriptor-Level Manipulation,Watchlist-low-signal-preprint,Watchlist,T3,Q86FN9Y6,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,Watchlist-low-signal-preprint,Watchlist,T3,DYQGJAAP,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,Watchlist-low-signal-preprint,Watchlist,T3,U3S2Z98J,MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers || MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers / T3,"Expected Watchlist, but Zotero currently places it in T3."
watchlist_item_in_core_tier,VIGIL: Defending LLM Agents Against Tool Stream Injection via Verify-Before-Commit,Watchlist-low-signal-preprint,Watchlist,T1,F79ZX3ZB,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,"Expected Watchlist, but Zotero currently places it in T1."
watchlist_item_in_core_tier,WebGPT: Browser-assisted question-answering with human feedback,Watchlist-low-signal-preprint,Watchlist,T3,C629Z8JQ,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T3,"Expected Watchlist, but Zotero currently places it in T3."
missing_fine_folder,A First Measurement Study on Authentication Security in Real-World Remote MCP Servers,Watchlist-low-signal-preprint,Watchlist,T3,WBVWFGY8,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,ACE: A Security Architecture for LLM-Integrated App Systems,Watchlist-low-signal-preprint,Watchlist,T1,EAWDGDFJ,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,T3-supported-or-mentioned-preprint,T3,T1,U4HNQJW8,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T1,Expected fine-grained folder T3-supported-or-mentioned-preprint; Zotero only shows current paths listed.
missing_fine_folder,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,Watchlist-low-signal-preprint,Watchlist,T1,FS8FXVW9,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T1,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Architecting Secure AI Agents: Perspectives on System-Level Defenses Against Indirect Prompt Injection Attacks,Watchlist-low-signal-preprint,Watchlist,T3,72G39ZQF,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks || MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs,Watchlist-low-signal-preprint,Watchlist,T1,WAGT2NFG,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations,Watchlist-low-signal-preprint,Watchlist,T3,FTQ5VZVM,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Beyond the Protocol: Unveiling Attack Vectors in the Model Context Protocol (MCP) Ecosystem,Watchlist-low-signal-preprint,Watchlist,T3,2DW3452X,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,Watchlist-low-signal-preprint,Watchlist,T3,IQPU5RCM,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Clawed and Dangerous: Can We Trust Open Agentic Systems?,Watchlist-low-signal-preprint,Watchlist,T3,DTTZMEMY,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Deep Research Brings Deeper Harm,Watchlist-low-signal-preprint,Watchlist,T3,YNQJ8ZEK,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Defeating Prompt Injections by Design,Watchlist-low-signal-preprint,Watchlist,T3,F2Z4UQN8,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Defending Against Prompt Injection with DataFilter,Watchlist-low-signal-preprint,Watchlist,T3,HKSBD6XX,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,T3-supported-or-mentioned-preprint,T3,T1,A64EF5SD,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,Expected fine-grained folder T3-supported-or-mentioned-preprint; Zotero only shows current paths listed.
missing_fine_folder,MCP safety audit: LLMs with the model context protocol allow major security exploits,T3-citable-proceedings,T3,T3,MF89Z72M,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder T3-citable-proceedings; Zotero only shows current paths listed.
missing_fine_folder,MCP-Guard: A Multi-Stage Defense-in-Depth Framework for Securing Model Context Protocol in Agentic AI,Watchlist-low-signal-preprint,Watchlist,T3,7D8YAKFC,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,Watchlist-low-signal-preprint,Watchlist,T3,UMIR8WCK,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,MCPGuard: Automatically Detecting Vulnerabilities in MCP Servers,Watchlist-low-signal-preprint,Watchlist,T3,SBEBWL9I,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,MCPSecBench: A Systematic Security Benchmark and Playground for Testing Model Context Protocols,Watchlist-low-signal-preprint,Watchlist,T3,JSUEKJ7I,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Meta SecAlign: A Secure Foundation LLM Against Prompt Injection Attacks,Watchlist-low-signal-preprint,Watchlist,T3,FCNZA3HV,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,T2-caution-mdpi-q2,T2,,XWI8T4ZP,MSc Thesis - Tool-Output Injection / 04 MCP Security,Expected fine-grained folder T2-caution-mdpi-q2; Zotero only shows current paths listed.
missing_fine_folder,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",Watchlist-low-signal-preprint,Watchlist,T3,D2UYLRMU,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Prompt Injection attack against LLM-integrated Applications,Watchlist-low-signal-preprint,Watchlist,T3,I6USYZ47,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",T2-caution-mdpi-q2,T2,T2,WH38KM7S,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T2,Expected fine-grained folder T2-caution-mdpi-q2; Zotero only shows current paths listed.
missing_fine_folder,"Prompt Injection Attacks on Agentic Coding Assistants: A Systematic Analysis of Vulnerabilities in Skills, Tools, and Protocol Ecosystems",Watchlist-low-signal-preprint,Watchlist,T3,L6F6YM4P,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core || MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Semantic Attacks on Tool-Augmented LLMs: Securing the Model Context Protocol Against Descriptor-Level Manipulation,Watchlist-low-signal-preprint,Watchlist,T3,Q86FN9Y6,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,Watchlist-low-signal-preprint,Watchlist,T3,DYQGJAAP,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,Watchlist-low-signal-preprint,Watchlist,T3,U3S2Z98J,MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers || MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,Universal and Transferable Adversarial Attacks on Aligned Language Models,T3-influential-preprint,T3,T3,JIV7S322,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,Expected fine-grained folder T3-influential-preprint; Zotero only shows current paths listed.
missing_fine_folder,VIGIL: Defending LLM Agents Against Tool Stream Injection via Verify-Before-Commit,Watchlist-low-signal-preprint,Watchlist,T1,F79ZX3ZB,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
missing_fine_folder,WebGPT: Browser-assisted question-answering with human feedback,Watchlist-low-signal-preprint,Watchlist,T3,C629Z8JQ,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T3,Expected fine-grained folder Watchlist-low-signal-preprint; Zotero only shows current paths listed.
duplicate_or_split_zotero_items,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,T1,T1,T1,6VDYULVW; WQKSX6CH,MSc Thesis - Tool-Output Injection || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T1,Multiple Zotero items with the same/near-same paper title have different collection paths; merge or keep only one classified copy.
