generated_at,record_source,freshness_flag,zotero_item_id,zotero_key,zotero_item_type,zotero_topic_collection,zotero_collection_paths,zotero_tier_collection,theme,title,authors,first_author,year,doi,url,venue,provisional_tier,tier_basis,evidence_role,scite_match_status,scite_canonical_doi,scite_url,scite_citing_publications_range,scite_supporting_context_range,scite_mentioning_context_range,scite_contrasting_context_range,scite_context_interpretation,quality_flags,recommended_next_step,screening_status,limitations
2026-07-01,zotero,zotero_added_since_2026-05-01,27,SBEBWL9I,journalArticle,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security,,MCP security,MCPGuard: Automatically Detecting Vulnerabilities in MCP Servers,Bin Wang; Zexin Liu; Hao Yu; others,Bin Wang,2025,10.48550/arXiv.2510.23673,https://arxiv.org/abs/2510.23673,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Protocol-mediated carrier and MCP risk/source candidate.,matched_in_scite_session,10.48550/arxiv.2510.23673,https://doi.org/10.48550/arxiv.2510.23673,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,28,JSUEKJ7I,journalArticle,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security,,MCP security,MCPSecBench: A Systematic Security Benchmark and Playground for Testing Model Context Protocols,Yixuan Yang; Daoyuan Wu; Yufan Chen,Yixuan Yang,2025,10.48550/arXiv.2508.13220,https://arxiv.org/abs/2508.13220,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Protocol-mediated carrier and MCP risk/source candidate.,matched_in_scite_session,10.48550/arxiv.2508.13220,https://arxiv.org/pdf/2508.13220,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,29,KCTMEJI5,journalArticle,10 To Verify,MSc Thesis - Tool-Output Injection / 10 To Verify,,MCP security,MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,Dongsen Zhang; Zekun Li; Xu Luo; others,Dongsen Zhang,2025,10.48550/arXiv.2510.15994,https://arxiv.org/abs/2510.15994,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Protocol-mediated carrier and MCP risk/source candidate.,matched_in_scite_session,10.48550/arxiv.2510.15994,https://arxiv.org/pdf/2510.15994,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,30,DTQF7NL9,journalArticle,10 To Verify,MSc Thesis - Tool-Output Injection / 10 To Verify,,Prompt injection core,ObliInjection: Order-Oblivious Prompt Injection Attack to LLM Agents with Multi-source Data,Reachal Wang; Yuqi Jia; Neil Zhenqiang Gong,Reachal Wang,2025,10.48550/arXiv.2512.09321,https://www.ndss-symposium.org/ndss-paper/obliinjection-order-oblivious-prompt-injection-attack-to-llm-agents-with-multi-source-data/,arXiv,T1_provisional,Known top-tier or near top-tier CS/AI/security venue signal; verify exact CORE/venue metadata.,Threat model and indirect prompt-injection foundation.,matched_in_scite_session,10.48550/arxiv.2512.09321,https://doi.org/10.48550/arxiv.2512.09321,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Read abstract and methods; verify venue/rank before final citation.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,31,8ESTRGZJ,journalArticle,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails || MSc Thesis - Tool-Output Injection / 10 To Verify,,Defences and guardrails,Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs,Yinan Zhong; Qianhao Miao; Yanjiao Chen; others,Yinan Zhong,2025,10.48550/arXiv.2512.08417,https://arxiv.org/pdf/2512.08417,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Candidate defence/baseline for RQ2.,matched_in_scite_session,10.48550/arxiv.2512.08417,https://doi.org/10.48550/arxiv.2512.08417,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,32,IQPU5RCM,journalArticle,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks,,Long-horizon and memory risks,CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,Minbeom Kim; Mihir Parmar; Phillip Wallis; others,Minbeom Kim,2026,10.48550/arXiv.2602.07918,https://arxiv.org/abs/2602.07918,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.","Candidate for persistence, memory, delayed compromise, or long-horizon risk.",matched_in_scite_session,10.48550/arxiv.2602.07918,https://doi.org/10.48550/arxiv.2602.07918,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,33,FTQ5VZVM,journalArticle,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks,,Long-horizon and memory risks,AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations,Yu He; Haozhe Zhu; Yiming Li; others,Yu He,2026,10.48550/arXiv.2603.10749,https://arxiv.org/abs/2603.10749,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.","Candidate for persistence, memory, delayed compromise, or long-horizon risk.",matched_in_scite_session,10.48550/arxiv.2603.10749,https://doi.org/10.48550/arxiv.2603.10749,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,34,72G39ZQF,journalArticle,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks,,Long-horizon and memory risks,Architecting Secure AI Agents: Perspectives on System-Level Defenses Against Indirect Prompt Injection Attacks,Chong Xiang; Drew Zagieboylo; Shaona Ghosh; others,Chong Xiang,2026,10.48550/arXiv.2603.30016,https://doi.org/10.48550/arXiv.2603.30016,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.","Candidate for persistence, memory, delayed compromise, or long-horizon risk.",matched_in_scite_session,10.48550/arxiv.2603.30016,https://doi.org/10.48550/arxiv.2603.30016,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,35,3WNGTYTJ,journalArticle,10 To Verify,MSc Thesis - Tool-Output Injection / 10 To Verify,,Prompt injection core,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,Peiran Wang; Xinfeng Li; Chong Xiang; others,Peiran Wang,2026,10.48550/arXiv.2602.10453,https://arxiv.org/pdf/2602.10453,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Threat model and indirect prompt-injection foundation.,matched_in_scite_session,10.48550/arxiv.2602.10453,https://doi.org/10.48550/arxiv.2602.10453,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,36,KVUBQCLH,journalArticle,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks,,Long-horizon and memory risks,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,Tanqiu Jiang; Yuhui Wang; Jiacheng Liang; Ting Wang,Tanqiu Jiang,2026,10.48550/arXiv.2602.16901,https://arxiv.org/pdf/2602.16901,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.","Candidate for persistence, memory, delayed compromise, or long-horizon risk.",matched_in_scite_session,10.48550/arxiv.2602.16901,https://doi.org/10.48550/arxiv.2602.16901,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,new_arxiv_preprint,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,37,HKSBD6XX,journalArticle,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails,,Defences and guardrails,Defending Against Prompt Injection with DataFilter,Yizhu Wang; Sizhe Chen; Raghad Alkhudair; others,Yizhu Wang,2025,10.48550/arXiv.2510.19207,https://arxiv.org/pdf/2510.19207,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Candidate defence/baseline for RQ2.,matched_in_scite_session,10.48550/arxiv.2510.19207,https://arxiv.org/pdf/2510.19207,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,38,KH7WK27R,journalArticle,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core,,Defences and guardrails,"Indirect Prompt Injections: Are Firewalls All You Need, or Stronger Benchmarks?",Rishika Bhagwatkar; Kevin Kasa; Abhay Puri; others,Rishika Bhagwatkar,2025,10.48550/arXiv.2510.05244,https://arxiv.org/pdf/2510.05244,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Candidate defence/baseline for RQ2.,matched_in_scite_session,10.48550/arxiv.2510.05244,https://arxiv.org/pdf/2510.05244,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,39,RWAHA7QE,journalArticle,05 Attack Generation and Adaptive Attacks,MSc Thesis - Tool-Output Injection / 05 Attack Generation and Adaptive Attacks,,Attack generation and adaptive attacks,AgentVigil: Generic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents,Zhun Wang; Vincent Siu; Zhe Ye; others,Zhun Wang,2025,10.48550/arXiv.2505.05849,https://arxiv.org/pdf/2505.05849,arXiv,T3_or_watchlist,"Preprint, repository, broad journal, or uncertain venue; read and verify before thesis citation.",Adaptive attack/red-team/stress-test candidate.,matched_in_scite_session,10.48550/arxiv.2505.05849,https://arxiv.org/pdf/2505.05849,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Skim first; cite only after source/venue and claim quality are confirmed.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
2026-07-01,zotero,zotero_added_since_2026-05-01,40,ZTXUB35L,conferencePaper,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails,,Defences and guardrails,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,Hao Li; Xiaogeng Liu; Ning Zhang; others,Hao Li,2025,10.18653/v1/2025.acl-long.1468,https://doi.org/10.18653/v1/2025.acl-long.1468,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics,T2_provisional,"Reputable peer-reviewed venue or strong publisher signal, but not confirmed as top-tier in this pass.",Candidate defence/baseline for RQ2.,matched_in_scite_session,10.18653/v1/2025.acl-long.1468,https://aclanthology.org/2025.acl-long.1468.pdf,not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),not estimated in this pass (Scite raw tally unavailable),Scite DOI/title matched where available; raw tally not returned by plugin endpoint.,,Read limitations and test assumptions before using as defence evidence.,included_from_zotero_needs_human_reading,Zotero T1/T2/T3 folders are empty; provisional tier is inferred and must be manually verified against CORE/JCR/SJR.
