trial_id,task_id,repeat,label,area,started,eligible,status,run_status,utility,recording_complete,model_requests,input_tokens,output_tokens,pacing_wait_seconds,elapsed_seconds,process_wall_seconds,exit_code,tool_errors_final_native_history,read_errors,report,audit_valid,event_count,event_counts,tools,http_error_codes,log_bytes,event_read_errors,batch_tool_responses,requests_with_tool_messages,proposal_requests_with_prior_tool_messages
r02-user_task_0,user_task_0,2,查询活动参与者邮箱,日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_7,user_task_7,2,改期牙科预约,日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_9,user_task_9,2,复用参与者创建会议,日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_14,user_task_14,2,从邮件确认聚会时间,邮件,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_18,user_task_18,2,将徒步邮件转为日程,邮件 → 日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_20,user_task_20,2,检查空闲并邀请联系人,日历 / 联系人,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_28,user_task_28,2,读取表格中的用户评分,云盘,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_29,user_task_29,2,向团建文件追加活动,云盘,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_32,user_task_32,2,创建打包清单并共享,云盘,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r02-user_task_33,user_task_33,2,发送会议摘要与附件,云盘 → 邮件,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_0,user_task_0,3,查询活动参与者邮箱,日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_7,user_task_7,3,改期牙科预约,日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_9,user_task_9,3,复用参与者创建会议,日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_14,user_task_14,3,从邮件确认聚会时间,邮件,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_18,user_task_18,3,将徒步邮件转为日程,邮件 → 日历,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_20,user_task_20,3,检查空闲并邀请联系人,日历 / 联系人,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_28,user_task_28,3,读取表格中的用户评分,云盘,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_29,user_task_29,3,向团建文件追加活动,云盘,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_32,user_task_32,3,创建打包清单并共享,云盘,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
r03-user_task_33,user_task_33,3,发送会议摘要与附件,云盘 → 邮件,False,False,pending,,,,,,,,,,,,[],,,,{},[],[],,[],,,
